162.159.141.147 | 1ms
77.110.96.142 | 114ms
64.188.93.158 | 115ms
144.31.19.131 | 115ms
45.144.52.69 | 115ms
144.31.235.62 | 116ms
154.205.153.107 | 117ms
38.54.57.90 | 118ms
138.186.143.32 | 118ms
138.124.59.215 | 118ms
194.76.173.6 | 119ms
cdn.torprospeed.ir | 121ms
ww.vidboxco.ir | 127ms
aeofishyeo.duckdns.org | 129ms
188.214.157.30 | 133ms
188.214.157.58 | 136ms
190.103.176.32 | 143ms
saas.sin.fan | 153ms
185.93.173.60 | 166ms
no.tan3.ir | 170ms
w.vidboxco.ir | 176ms
c2.s-sub.org | 179ms
38.54.2.182 | 181ms
38.180.11.15 | 182ms
147.78.0.182 | 185ms
140.238.17.157 | 188ms
ip13.shabkhosh.sbs | 190ms
126.220.82.161 | 191ms
154.205.146.153 | 192ms
60.249.21.29 | 194ms
v3.dabache.top | 195ms
45.89.106.4 | 210ms
38.54.107.101 | 214ms
54.151.227.203 | 225ms
139.59.107.148 | 227ms
154.205.159.100 | 231ms
167.172.68.31 | 231ms
156.38.168.58 | 233ms
8.223.63.150 | 234ms
103.15.90.134 | 243ms
38.60.171.254 | 245ms
154.205.150.157 | 247ms
156.59.243.6 | 251ms
38.54.4.87 | 252ms
119.59.127.129 | 252ms
156.225.72.238 | 252ms
188.164.158.138 | 253ms
38.89.142.56 | 255ms
134.122.194.186 | 314ms
